CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,Average_Monthly_Charges,Customer_Lifetime_Value
bdd640fb-0667-4ad1-9c80-317fa3b1799d,56.0,Male,One year,70.02,4621.32,Yes,No,66,Yes,Credit card,No,70.02,46213.2
23b8c1e9-3924-46de-beb1-3b9046685257,69.0,Female,Two year,36.06,2127.54,Yes,DSL,59,No,Mailed check,No,36.06,21275.4
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,46.0,Female,One year,54.07,1513.96,Yes,DSL,28,Yes,Electronic check,No,54.07,15139.6
972a8469-1641-4f82-8b9d-2434e465e150,32.0,Female,One year,52.4,1257.6,Yes,Fiber optic,24,No,Credit card,No,52.4,12576.0
17fc695a-07a0-4a6e-8822-e8f36c031199,60.0,Female,Month-to-month,78.71,4014.2099999999996,Yes,Fiber optic,51,Yes,Electronic check,No,78.71,40142.1
9a1de644-815e-46d1-bb8f-aa1837f8a88b,25.0,Female,One year,26.67,560.07,No,No,21,Yes,Credit card,No,26.67,5600.700000000001
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,78.0,Female,One year,102.97,3192.07,No,Fiber optic,31,No,Mailed check,Yes,102.97,31920.7
6b65a6a4-8b81-48f6-b38a-088ca65ed389,38.0,Female,One year,76.24,3811.9999999999995,Yes,DSL,50,Yes,Bank transfer,No,76.24,38119.99999999999
47378190-96da-4dac-b2ff-5d2a386ecbe0,56.0,Female,Month-to-month,87.08,3483.2,No,No,40,No,Electronic check,No,87.08,34832.0
c241330b-01a9-471f-9e8a-774bcf36d58b,75.0,Female,Two year,90.31,6141.08,No,Fiber optic,68,Yes,Credit card,No,90.31,61410.8
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,36.0,Female,Two year,49.15,,Yes,DSL,16,No,Bank transfer,No,49.15,7864.0
371ecd7b-27cd-4130-8722-9389571aa876,40.0,Female,One year,67.04,4223.52,No,DSL,63,Yes,Electronic check,No,67.04,42235.200000000004
1a2a73ed-562b-4f79-8374-59eef50bea63,28.0,Female,Month-to-month,115.62,6474.72,No,No,56,No,Electronic check,No,115.62,64747.200000000004
5be6128e-18c2-4797-a142-ea7d17be3111,28.0,Female,One year,96.67,2320.08,Yes,No,24,Yes,Bank transfer,No,96.67,23200.8
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,41.0,Female,Two year,116.96,,No,Fiber optic,28,No,Mailed check,No,116.96,32748.799999999996
759cde66-bacf-43d0-8b1f-9163ce9ff57f,70.0,Female,Month-to-month,94.63,2933.5299999999997,No,Fiber optic,31,No,Bank transfer,No,94.63,29335.299999999996
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,53.0,Female,Two year,37.56,563.4000000000001,No,Fiber optic,15,No,Mailed check,No,37.56000000000001,5634.000000000001
4b0dbb41-8d52-48f1-942c-3fe860e7a113,,Male,Two year,,1110.8999999999999,No,Fiber optic,42,No,Credit card,No,26.449999999999996,11108.999999999998
